Cluster,País_1,País_2,Años_overlap,Años_min_común,Años_max_común,Productos_comunes,Correlación,Años_solo_P1,Años_solo_P2,Rango_solo_P1,Rango_solo_P2
0,Eritrea,Asia central,30,1993,2022,39,0.30735523188167374,0,1,N/A-N/A,1992-1992
0,Eslovaquia,Eslovenia,30,1993,2022,41,0.20184805772676337,0,1,N/A-N/A,1992-1992
0,Eslovaquia,Estonia,30,1993,2022,41,0.2958155294463922,0,1,N/A-N/A,1992-1992
0,Eslovaquia,Etiopía,30,1993,2022,39,-0.24508725877517107,0,0,N/A-N/A,N/A-N/A
0,Eslovaquia,Federación de Rusia,30,1993,2022,41,0.3511759492009231,0,1,N/A-N/A,1992-1992
0,Eslovaquia,Georgia,30,1993,2022,41,0.009602977366704749,0,1,N/A-N/A,1992-1992
0,Eslovaquia,Kazajstán,30,1993,2022,41,0.15684487352315463,0,1,N/A-N/A,1992-1992
0,Eslovaquia,Kirguistán,30,1993,2022,40,-0.11823945678434286,0,1,N/A-N/A,1992-1992
0,Eslovaquia,Letonia,30,1993,2022,40,0.38645853902224997,0,1,N/A-N/A,1992-1992
0,Eslovaquia,Lituania,30,1993,2022,41,0.43971716639210484,0,1,N/A-N/A,1992-1992
0,Eslovaquia,Luxemburgo,23,2000,2022,40,0.17075703436982595,7,0,1993-1999,N/A-N/A
0,Eslovaquia,Macedonia del Norte,30,1993,2022,39,0.363086994948499,0,1,N/A-N/A,1992-1992
0,Eslovaquia,Micronesia (Estados Federados de),30,1993,2022,39,-0.04270201787280569,0,2,N/A-N/A,1991-1992
0,Eslovaquia,Montenegro,17,2006,2022,40,0.19277523748224662,13,0,1993-2005,N/A-N/A
0,Eslovaquia,Palestina,30,1993,2022,34,-0.2614175737768157,0,3,N/A-N/A,1990-1992
0,Eslovaquia,República de Moldova,30,1993,2022,40,0.4823288308839678,0,1,N/A-N/A,1992-1992
0,Eslovaquia,Serbia,17,2006,2022,41,0.19822087539252953,13,0,1993-2005,N/A-N/A
0,Eslovaquia,Tayikistán,30,1993,2022,41,-0.21327893939276224,0,1,N/A-N/A,1992-1992
0,Eslovaquia,Turkmenistán,30,1993,2022,40,-0.2908245251013551,0,1,N/A-N/A,1992-1992
0,Eslovaquia,Ucrania,30,1993,2022,41,0.5167674554791113,0,1,N/A-N/A,1992-1992
0,Eslovaquia,Uzbekistán,30,1993,2022,40,-0.11078818702032549,0,1,N/A-N/A,1992-1992
0,Eslovaquia,Asia central,30,1993,2022,41,-0.11028235269685678,0,1,N/A-N/A,1992-1992
0,Eslovenia,Estonia,31,1992,2022,41,0.18121782636281006,0,0,N/A-N/A,N/A-N/A
0,Eslovenia,Etiopía,30,1993,2022,39,-0.2148827959817399,1,0,1992-1992,N/A-N/A
0,Eslovenia,Federación de Rusia,31,1992,2022,41,0.20272603096378658,0,0,N/A-N/A,N/A-N/A
0,Eslovenia,Georgia,31,1992,2022,41,0.1149208241445429,0,0,N/A-N/A,N/A-N/A
0,Eslovenia,Kazajstán,31,1992,2022,41,0.09759962375699545,0,0,N/A-N/A,N/A-N/A
0,Eslovenia,Kirguistán,31,1992,2022,40,-0.11935007918994123,0,0,N/A-N/A,N/A-N/A
0,Eslovenia,Letonia,31,1992,2022,40,0.14198101648892666,0,0,N/A-N/A,N/A-N/A
0,Eslovenia,Lituania,31,1992,2022,41,0.14975536758387858,0,0,N/A-N/A,N/A-N/A
0,Eslovenia,Luxemburgo,23,2000,2022,40,0.16886899070902398,8,0,1992-1999,N/A-N/A
0,Eslovenia,Macedonia del Norte,31,1992,2022,39,0.3236432793305968,0,0,N/A-N/A,N/A-N/A
0,Eslovenia,Micronesia (Estados Federados de),31,1992,2022,39,-0.37323548532384154,0,1,N/A-N/A,1991-1991
0,Eslovenia,Montenegro,17,2006,2022,40,0.23788142460049497,14,0,1992-2005,N/A-N/A
0,Eslovenia,Palestina,31,1992,2022,34,-0.09793106663121345,0,2,N/A-N/A,1990-1991
0,Eslovenia,República de Moldova,31,1992,2022,40,0.09218331063119273,0,0,N/A-N/A,N/A-N/A
0,Eslovenia,Serbia,17,2006,2022,41,0.331132200333073,14,0,1992-2005,N/A-N/A
0,Eslovenia,Tayikistán,31,1992,2022,41,-0.17426137693335897,0,0,N/A-N/A,N/A-N/A
0,Eslovenia,Turkmenistán,31,1992,2022,40,-0.23893309694961645,0,0,N/A-N/A,N/A-N/A
0,Eslovenia,Ucrania,31,1992,2022,41,0.20463641245529035,0,0,N/A-N/A,N/A-N/A
0,Eslovenia,Uzbekistán,31,1992,2022,40,-0.08166414643034996,0,0,N/A-N/A,N/A-N/A
0,Eslovenia,Asia central,31,1992,2022,41,-0.13551996992340548,0,0,N/A-N/A,N/A-N/A
0,Estonia,Etiopía,30,1993,2022,39,0.1322868158010882,1,0,1992-1992,N/A-N/A
0,Estonia,Federación de Rusia,31,1992,2022,41,0.45788363140462585,0,0,N/A-N/A,N/A-N/A
0,Estonia,Georgia,31,1992,2022,41,0.018719233686919762,0,0,N/A-N/A,N/A-N/A
0,Estonia,Kazajstán,31,1992,2022,41,0.4276712035783659,0,0,N/A-N/A,N/A-N/A
0,Estonia,Kirguistán,31,1992,2022,40,0.20131558848764777,0,0,N/A-N/A,N/A-N/A
